Order Date,Customer ID,Product Name,Quantity,Total Price,Shipping Fee,Shipping Status,Category,Order Month,Order Day,Order Year,Is Weekend,Shipping Percentage
2023-12-08,CUST0268,Monitor,5,1500,13.31,Returned,Electronics,12,8,2023,False,0.8873333333333334
2023-04-09,CUST0046,Headphones,2,200,6.93,Delivered,Accessories,4,9,2023,True,3.465
2023-08-28,CUST0169,Monitor,1,300,11.31,Returned,Electronics,8,28,2023,False,3.7700000000000005
2023-01-18,CUST0002,Headphones,5,500,12.22,Delivered,Accessories,1,18,2023,False,2.444
2023-01-19,CUST0173,Laptop,3,4500,5.4,Delivered,Electronics,1,19,2023,False,0.12000000000000001
2023-01-11,CUST0147,Smartwatch,2,400,11.26,Delivered,Wearables,1,11,2023,False,2.815
2023-10-23,CUST0262,Smartwatch,1,200,18.38,Delivered,Wearables,10,23,2023,False,9.19
2023-06-15,CUST0159,Keyboard,2,100,15.08,Returned,Accessories,6,15,2023,False,15.079999999999998
2023-02-25,CUST0046,Mouse,1,30,8.22,Returned,Accessories,2,25,2023,True,27.400000000000002
2023-04-23,CUST0023,Headphones,3,300,10.7,Delivered,Accessories,4,23,2023,True,3.5666666666666664
2023-06-01,CUST0201,Headphones,2,200,9.8,Returned,Accessories,6,1,2023,False,4.9
2023-09-13,CUST0283,Mouse,3,90,5.65,Delivered,Accessories,9,13,2023,False,6.277777777777778
2023-02-17,CUST0199,Keyboard,5,250,7.13,Delivered,Accessories,2,17,2023,False,2.852
2023-12-10,CUST0039,Keyboard,4,200,10.91,Returned,Accessories,12,10,2023,True,5.455
2023-06-29,CUST0276,Mouse,1,30,11.36,Delivered,Accessories,6,29,2023,False,37.86666666666667
2023-07-14,CUST0143,Smartwatch,3,600,7.89,Delivered,Wearables,7,14,2023,False,1.315
2023-05-13,CUST0139,Laptop,4,6000,10.92,Delivered,Electronics,5,13,2023,True,0.182
2023-06-09,CUST0210,Smartphone,2,1600,11.44,Returned,Electronics,6,9,2023,False,0.715
2023-06-21,CUST0293,Smartwatch,5,1000,7.16,Delivered,Wearables,6,21,2023,False,0.7160000000000001
2023-11-26,CUST0049,Monitor,4,1200,17.37,Delivered,Electronics,11,26,2023,True,1.4475
2023-11-08,CUST0283,Smartphone,5,4000,12.17,Delivered,Electronics,11,8,2023,False,0.30425
2023-12-27,CUST0196,Mouse,3,90,19.41,Returned,Accessories,12,27,2023,False,21.566666666666666
2023-06-06,CUST0050,Mouse,3,90,6.97,Returned,Accessories,6,6,2023,False,7.7444444444444445
2023-10-28,CUST0007,Headphones,2,200,12.0,Delivered,Accessories,10,28,2023,True,6.0
2023-12-30,CUST0242,Smartphone,4,3200,18.11,Delivered,Electronics,12,30,2023,True,0.5659375
2023-12-04,CUST0042,Keyboard,1,50,9.6,Delivered,Accessories,12,4,2023,False,19.2
2023-02-01,CUST0264,Smartphone,2,1600,11.59,Delivered,Electronics,2,1,2023,False,0.724375
2023-08-14,CUST0053,Smartwatch,1,200,14.9,Delivered,Wearables,8,14,2023,False,7.449999999999999
2023-12-07,CUST0154,Smartphone,1,800,19.22,Delivered,Electronics,12,7,2023,False,2.4025
2023-06-28,CUST0190,Keyboard,4,200,15.31,Delivered,Accessories,6,28,2023,False,7.655000000000001
2023-11-17,CUST0038,Monitor,2,600,12.38,Returned,Electronics,11,17,2023,False,2.0633333333333335
2023-01-25,CUST0288,Laptop,4,6000,12.91,Delivered,Electronics,1,25,2023,False,0.21516666666666667
2023-09-05,CUST0124,Monitor,2,600,18.38,Delivered,Electronics,9,5,2023,False,3.063333333333333
2023-09-17,CUST0298,Headphones,5,500,7.41,Delivered,Accessories,9,17,2023,True,1.482
2023-12-25,CUST0211,Mouse,3,90,11.42,Delivered,Accessories,12,25,2023,False,12.688888888888888
2023-01-14,CUST0060,Laptop,4,6000,7.13,Delivered,Electronics,1,14,2023,True,0.11883333333333333
2023-08-01,CUST0284,Monitor,1,300,6.55,Returned,Electronics,8,1,2023,False,2.183333333333333
2023-02-12,CUST0282,Smartphone,2,1600,9.72,Delivered,Electronics,2,12,2023,True,0.6075
2023-05-18,CUST0205,Monitor,2,600,18.27,Delivered,Electronics,5,18,2023,False,3.045
2023-10-03,CUST0222,Smartphone,2,1600,6.01,Returned,Electronics,10,3,2023,False,0.375625
2023-08-30,CUST0299,Keyboard,2,100,9.57,Returned,Accessories,8,30,2023,False,9.57
2023-09-15,CUST0064,Monitor,1,300,13.82,Returned,Electronics,9,15,2023,False,4.6066666666666665
2023-02-14,CUST0073,Keyboard,4,200,5.32,Delivered,Accessories,2,14,2023,False,2.66
2023-02-27,CUST0154,Keyboard,3,150,7.46,Delivered,Accessories,2,27,2023,False,4.973333333333333
2023-08-13,CUST0081,Monitor,1,300,17.22,Returned,Electronics,8,13,2023,True,5.74
2023-05-09,CUST0247,Headphones,2,200,8.15,Delivered,Accessories,5,9,2023,False,4.075
2023-12-23,CUST0130,Monitor,2,600,9.56,Delivered,Electronics,12,23,2023,True,1.5933333333333335
2023-10-28,CUST0178,Smartwatch,3,600,18.09,Delivered,Wearables,10,28,2023,True,3.015
2023-09-01,CUST0131,Laptop,4,6000,7.01,Delivered,Electronics,9,1,2023,False,0.11683333333333333
2023-04-16,CUST0070,Monitor,3,900,12.58,Returned,Electronics,4,16,2023,True,1.3977777777777778
2023-12-13,CUST0122,Headphones,2,200,13.49,Delivered,Accessories,12,13,2023,False,6.744999999999999
2023-03-27,CUST0168,Monitor,4,1200,18.15,Delivered,Electronics,3,27,2023,False,1.5125
2023-11-16,CUST0176,Laptop,2,3000,7.43,Delivered,Electronics,11,16,2023,False,0.24766666666666665
2023-06-14,CUST0064,Laptop,2,3000,5.42,Returned,Electronics,6,14,2023,False,0.18066666666666667
2023-01-26,CUST0125,Smartphone,5,4000,10.62,Returned,Electronics,1,26,2023,False,0.26549999999999996
2023-12-25,CUST0165,Keyboard,4,200,19.72,Returned,Accessories,12,25,2023,False,9.86
2023-09-29,CUST0057,Keyboard,4,200,12.79,Delivered,Accessories,9,29,2023,False,6.395
2023-03-14,CUST0207,Laptop,1,1500,5.16,Delivered,Electronics,3,14,2023,False,0.344
2023-12-14,CUST0167,Headphones,2,200,11.65,Returned,Accessories,12,14,2023,False,5.825
2023-09-17,CUST0006,Laptop,5,7500,19.69,Delivered,Electronics,9,17,2023,True,0.2625333333333334
2023-08-08,CUST0041,Smartphone,4,3200,17.27,Delivered,Electronics,8,8,2023,False,0.5396875
2023-04-12,CUST0112,Monitor,4,1200,14.88,Delivered,Electronics,4,12,2023,False,1.2400000000000002
2023-02-21,CUST0244,Headphones,3,300,8.49,Delivered,Accessories,2,21,2023,False,2.83
2023-11-03,CUST0218,Headphones,2,200,7.71,Returned,Accessories,11,3,2023,False,3.855
2023-01-16,CUST0073,Monitor,5,1500,13.7,Delivered,Electronics,1,16,2023,False,0.9133333333333333
2023-02-05,CUST0065,Headphones,2,200,13.06,Returned,Accessories,2,5,2023,True,6.529999999999999
2023-02-07,CUST0096,Smartphone,4,3200,11.79,Delivered,Electronics,2,7,2023,False,0.3684375
2023-04-03,CUST0060,Keyboard,4,200,19.12,Returned,Accessories,4,3,2023,False,9.56
2023-10-23,CUST0045,Mouse,1,30,6.17,Delivered,Accessories,10,23,2023,False,20.566666666666666
2023-07-25,CUST0296,Keyboard,2,100,13.82,Delivered,Accessories,7,25,2023,False,13.819999999999999
2023-10-01,CUST0261,Laptop,5,7500,15.95,Returned,Electronics,10,1,2023,True,0.21266666666666664
2023-03-19,CUST0077,Keyboard,5,250,10.89,Delivered,Accessories,3,19,2023,True,4.356
2023-10-05,CUST0227,Keyboard,4,200,9.22,Returned,Accessories,10,5,2023,False,4.61
2023-04-11,CUST0284,Keyboard,3,150,17.76,Delivered,Accessories,4,11,2023,False,11.84
2023-09-11,CUST0245,Mouse,1,30,13.28,Returned,Accessories,9,11,2023,False,44.266666666666666
2023-10-28,CUST0133,Smartphone,1,800,11.29,Returned,Electronics,10,28,2023,True,1.41125
2023-03-16,CUST0179,Keyboard,2,100,19.04,Delivered,Accessories,3,16,2023,False,19.04
2023-11-21,CUST0022,Smartwatch,2,400,10.07,Delivered,Wearables,11,21,2023,False,2.5175
2023-12-03,CUST0269,Laptop,5,7500,6.53,Returned,Electronics,12,3,2023,True,0.08706666666666667
2023-02-08,CUST0181,Smartwatch,3,600,9.82,Delivered,Wearables,2,8,2023,False,1.6366666666666667
2023-12-22,CUST0170,Mouse,5,150,8.64,Delivered,Accessories,12,22,2023,False,5.760000000000001
2023-10-24,CUST0182,Monitor,5,1500,7.77,Delivered,Electronics,10,24,2023,False,0.518
2023-08-20,CUST0219,Mouse,2,60,7.4,Returned,Accessories,8,20,2023,True,12.333333333333334
2023-05-20,CUST0037,Keyboard,4,200,11.41,Returned,Accessories,5,20,2023,True,5.705
2023-02-18,CUST0006,Monitor,3,900,5.66,Delivered,Electronics,2,18,2023,True,0.6288888888888889
2023-08-02,CUST0006,Smartwatch,1,200,13.68,Delivered,Wearables,8,2,2023,False,6.84
2023-04-19,CUST0091,Mouse,1,30,18.29,Delivered,Accessories,4,19,2023,False,60.96666666666667
2023-06-29,CUST0064,Smartphone,5,4000,6.31,Delivered,Electronics,6,29,2023,False,0.15775
2023-03-08,CUST0286,Laptop,1,1500,13.15,Delivered,Electronics,3,8,2023,False,0.8766666666666667
2023-07-04,CUST0288,Headphones,2,200,16.23,Returned,Accessories,7,4,2023,False,8.115
2023-04-23,CUST0019,Keyboard,1,50,14.53,Returned,Accessories,4,23,2023,True,29.059999999999995
2023-03-24,CUST0236,Keyboard,2,100,11.25,Returned,Accessories,3,24,2023,False,11.25
2023-09-11,CUST0159,Keyboard,5,250,11.11,Returned,Accessories,9,11,2023,False,4.444
2023-02-02,CUST0251,Mouse,2,60,18.98,Delivered,Accessories,2,2,2023,False,31.633333333333336
2023-08-13,CUST0159,Headphones,1,100,18.47,Delivered,Accessories,8,13,2023,True,18.47
2023-05-23,CUST0064,Monitor,4,1200,18.5,Returned,Electronics,5,23,2023,False,1.5416666666666667
2023-08-12,CUST0099,Laptop,4,6000,15.74,Returned,Electronics,8,12,2023,True,0.26233333333333336
2023-01-24,CUST0228,Smartphone,4,3200,18.2,Delivered,Electronics,1,24,2023,False,0.56875
2023-12-08,CUST0024,Smartwatch,2,400,17.94,Delivered,Wearables,12,8,2023,False,4.485
2023-09-14,CUST0113,Smartphone,2,1600,16.51,Delivered,Electronics,9,14,2023,False,1.031875
2023-11-12,CUST0192,Smartwatch,4,800,9.97,Delivered,Wearables,11,12,2023,True,1.24625
2023-06-21,CUST0153,Monitor,1,300,6.85,Returned,Electronics,6,21,2023,False,2.283333333333333
2023-05-06,CUST0150,Laptop,3,4500,18.66,Returned,Electronics,5,6,2023,True,0.41466666666666663
2023-01-03,CUST0203,Mouse,1,30,7.78,Delivered,Accessories,1,3,2023,False,25.933333333333337
2023-10-12,CUST0163,Headphones,3,300,6.16,Returned,Accessories,10,12,2023,False,2.0533333333333332
2023-06-26,CUST0203,Laptop,3,4500,6.92,Returned,Electronics,6,26,2023,False,0.15377777777777776
2023-05-26,CUST0223,Mouse,2,60,15.12,Delivered,Accessories,5,26,2023,False,25.2
2023-11-08,CUST0266,Mouse,5,150,16.86,Returned,Accessories,11,8,2023,False,11.24
2023-12-07,CUST0227,Smartphone,3,2400,18.76,Delivered,Electronics,12,7,2023,False,0.7816666666666668
2023-07-06,CUST0289,Laptop,5,7500,6.68,Delivered,Electronics,7,6,2023,False,0.08906666666666667
2023-06-20,CUST0046,Laptop,3,4500,11.69,Delivered,Electronics,6,20,2023,False,0.2597777777777778
2023-02-11,CUST0173,Headphones,1,100,19.28,Returned,Accessories,2,11,2023,True,19.28
2023-02-02,CUST0008,Headphones,5,500,16.04,Delivered,Accessories,2,2,2023,False,3.2079999999999997
2023-03-22,CUST0015,Headphones,3,300,6.08,Returned,Accessories,3,22,2023,False,2.0266666666666664
2023-09-10,CUST0002,Smartphone,1,800,12.64,Returned,Electronics,9,10,2023,True,1.58
2023-02-22,CUST0189,Mouse,1,30,10.92,Delivered,Accessories,2,22,2023,False,36.4
2023-05-20,CUST0137,Smartphone,3,2400,16.82,Delivered,Electronics,5,20,2023,True,0.7008333333333333
2023-06-26,CUST0139,Smartwatch,2,400,9.18,Delivered,Wearables,6,26,2023,False,2.295
2023-04-12,CUST0033,Monitor,2,600,15.3,Delivered,Electronics,4,12,2023,False,2.5500000000000003
2023-10-10,CUST0297,Monitor,2,600,13.84,Delivered,Electronics,10,10,2023,False,2.3066666666666666
2023-05-29,CUST0008,Keyboard,3,150,13.86,Delivered,Accessories,5,29,2023,False,9.24
2023-06-01,CUST0267,Laptop,3,4500,14.23,Returned,Electronics,6,1,2023,False,0.31622222222222224
2023-08-22,CUST0028,Smartwatch,5,1000,6.09,Delivered,Wearables,8,22,2023,False,0.609
2023-05-10,CUST0078,Laptop,3,4500,19.98,Delivered,Electronics,5,10,2023,False,0.44400000000000006
2023-11-06,CUST0003,Smartphone,5,4000,11.1,Delivered,Electronics,11,6,2023,False,0.2775
2023-02-06,CUST0049,Laptop,1,1500,12.63,Returned,Electronics,2,6,2023,False,0.8420000000000001
2023-11-18,CUST0212,Laptop,5,7500,10.18,Delivered,Electronics,11,18,2023,True,0.13573333333333332
2023-01-13,CUST0146,Smartphone,1,800,10.16,Delivered,Electronics,1,13,2023,False,1.27
2023-04-21,CUST0082,Smartwatch,1,200,6.03,Returned,Wearables,4,21,2023,False,3.015
2023-08-02,CUST0036,Keyboard,1,50,6.06,Delivered,Accessories,8,2,2023,False,12.12
2023-02-02,CUST0155,Laptop,2,3000,9.21,Returned,Electronics,2,2,2023,False,0.30700000000000005
2023-03-16,CUST0138,Keyboard,3,150,5.09,Returned,Accessories,3,16,2023,False,3.393333333333333
2023-11-03,CUST0201,Mouse,2,60,8.39,Delivered,Accessories,11,3,2023,False,13.983333333333334
2023-06-04,CUST0197,Mouse,2,60,8.59,Delivered,Accessories,6,4,2023,True,14.316666666666666
2023-12-04,CUST0082,Laptop,1,1500,9.98,Delivered,Electronics,12,4,2023,False,0.6653333333333334
2023-09-26,CUST0091,Laptop,5,7500,7.58,Delivered,Electronics,9,26,2023,False,0.10106666666666667
2023-01-18,CUST0066,Laptop,2,3000,5.69,Returned,Electronics,1,18,2023,False,0.18966666666666668
2023-11-23,CUST0026,Monitor,1,300,16.61,Delivered,Electronics,11,23,2023,False,5.536666666666667
2023-05-03,CUST0078,Smartwatch,4,800,18.89,Returned,Wearables,5,3,2023,False,2.36125
2023-08-27,CUST0281,Keyboard,4,200,19.81,Delivered,Accessories,8,27,2023,True,9.905
2023-01-16,CUST0299,Headphones,5,500,14.5,Returned,Accessories,1,16,2023,False,2.9000000000000004
2023-07-25,CUST0053,Smartwatch,5,1000,16.41,Delivered,Wearables,7,25,2023,False,1.641
2023-11-18,CUST0239,Smartwatch,1,200,7.32,Delivered,Wearables,11,18,2023,True,3.66
2023-12-07,CUST0069,Headphones,3,300,10.81,Returned,Accessories,12,7,2023,False,3.6033333333333335
2023-05-15,CUST0245,Mouse,3,90,13.95,Returned,Accessories,5,15,2023,False,15.5
2023-05-16,CUST0258,Monitor,4,1200,9.55,Delivered,Electronics,5,16,2023,False,0.7958333333333335
2023-03-18,CUST0177,Smartwatch,3,600,13.87,Delivered,Wearables,3,18,2023,True,2.3116666666666665
2023-03-08,CUST0140,Headphones,2,200,10.96,Delivered,Accessories,3,8,2023,False,5.48
2023-09-19,CUST0089,Mouse,3,90,6.45,Delivered,Accessories,9,19,2023,False,7.166666666666667
2023-09-25,CUST0168,Smartphone,2,1600,13.79,Delivered,Electronics,9,25,2023,False,0.861875
2023-10-28,CUST0176,Laptop,3,4500,16.42,Delivered,Electronics,10,28,2023,True,0.36488888888888893
2023-02-21,CUST0089,Monitor,3,900,7.99,Delivered,Electronics,2,21,2023,False,0.8877777777777778
2023-08-28,CUST0281,Keyboard,2,100,6.45,Returned,Accessories,8,28,2023,False,6.45
2023-10-28,CUST0044,Mouse,5,150,16.62,Returned,Accessories,10,28,2023,True,11.080000000000002
2023-11-08,CUST0137,Monitor,5,1500,6.0,Delivered,Electronics,11,8,2023,False,0.4
2023-05-07,CUST0174,Laptop,1,1500,16.34,Delivered,Electronics,5,7,2023,True,1.0893333333333333
2023-10-03,CUST0141,Mouse,1,30,12.22,Delivered,Accessories,10,3,2023,False,40.73333333333334
2023-01-05,CUST0202,Mouse,3,90,5.07,Delivered,Accessories,1,5,2023,False,5.633333333333334
2023-08-22,CUST0259,Laptop,2,3000,7.5,Delivered,Electronics,8,22,2023,False,0.25
2023-11-07,CUST0045,Smartphone,3,2400,15.78,Delivered,Electronics,11,7,2023,False,0.6575
2023-06-24,CUST0168,Keyboard,1,50,15.92,Delivered,Accessories,6,24,2023,True,31.840000000000003
2023-06-06,CUST0027,Keyboard,5,250,11.09,Returned,Accessories,6,6,2023,False,4.436
2023-06-29,CUST0228,Mouse,4,120,18.6,Returned,Accessories,6,29,2023,False,15.5
2023-01-18,CUST0199,Smartphone,4,3200,16.45,Delivered,Electronics,1,18,2023,False,0.5140625
2023-03-04,CUST0065,Headphones,5,500,19.62,Delivered,Accessories,3,4,2023,True,3.9240000000000004
2023-09-11,CUST0146,Laptop,3,4500,8.87,Delivered,Electronics,9,11,2023,False,0.1971111111111111
2023-02-27,CUST0093,Monitor,1,300,16.58,Delivered,Electronics,2,27,2023,False,5.5266666666666655
2023-11-16,CUST0168,Monitor,1,300,14.7,Delivered,Electronics,11,16,2023,False,4.8999999999999995
2023-07-19,CUST0216,Smartphone,2,1600,16.23,Delivered,Electronics,7,19,2023,False,1.014375
2023-04-24,CUST0062,Headphones,4,400,11.4,Returned,Accessories,4,24,2023,False,2.85
2023-05-01,CUST0125,Smartphone,5,4000,19.08,Delivered,Electronics,5,1,2023,False,0.477
2023-06-26,CUST0060,Keyboard,1,50,5.56,Delivered,Accessories,6,26,2023,False,11.12
2023-01-19,CUST0247,Smartphone,1,800,7.11,Delivered,Electronics,1,19,2023,False,0.8887499999999999
2023-05-03,CUST0131,Monitor,1,300,15.92,Delivered,Electronics,5,3,2023,False,5.306666666666667
2023-07-21,CUST0114,Monitor,3,900,18.61,Delivered,Electronics,7,21,2023,False,2.0677777777777777
2023-10-11,CUST0082,Smartphone,4,3200,13.77,Delivered,Electronics,10,11,2023,False,0.4303125
2023-06-15,CUST0184,Mouse,3,90,14.78,Returned,Accessories,6,15,2023,False,16.42222222222222
2023-08-16,CUST0075,Monitor,2,600,13.6,Delivered,Electronics,8,16,2023,False,2.2666666666666666
2023-04-14,CUST0142,Monitor,1,300,15.5,Delivered,Electronics,4,14,2023,False,5.166666666666667
2023-10-24,CUST0076,Headphones,5,500,16.96,Delivered,Accessories,10,24,2023,False,3.392
2023-07-14,CUST0105,Smartwatch,5,1000,12.0,Delivered,Wearables,7,14,2023,False,1.2
2023-12-06,CUST0004,Keyboard,3,150,19.62,Delivered,Accessories,12,6,2023,False,13.08
2023-08-31,CUST0127,Smartwatch,2,400,11.66,Delivered,Wearables,8,31,2023,False,2.915
2023-09-02,CUST0072,Headphones,1,100,11.24,Delivered,Accessories,9,2,2023,True,11.24
2023-04-06,CUST0216,Smartphone,4,3200,6.27,Returned,Electronics,4,6,2023,False,0.1959375
2023-12-29,CUST0156,Smartphone,4,3200,16.09,Delivered,Electronics,12,29,2023,False,0.5028125
2023-06-09,CUST0052,Mouse,4,120,8.24,Returned,Accessories,6,9,2023,False,6.866666666666667
2023-06-14,CUST0226,Smartphone,4,3200,17.91,Delivered,Electronics,6,14,2023,False,0.5596875
2023-07-14,CUST0270,Laptop,1,1500,18.88,Returned,Electronics,7,14,2023,False,1.2586666666666666
2023-04-23,CUST0269,Monitor,5,1500,6.93,Delivered,Electronics,4,23,2023,True,0.462
2023-10-21,CUST0183,Smartphone,3,2400,7.22,Delivered,Electronics,10,21,2023,True,0.30083333333333334
2023-10-09,CUST0205,Keyboard,2,100,5.05,Delivered,Accessories,10,9,2023,False,5.05
2023-05-27,CUST0080,Headphones,1,100,19.84,Delivered,Accessories,5,27,2023,True,19.84
2023-02-01,CUST0208,Laptop,1,1500,16.28,Returned,Electronics,2,1,2023,False,1.0853333333333335
2023-05-07,CUST0186,Mouse,5,150,17.36,Delivered,Accessories,5,7,2023,True,11.573333333333332
2023-03-12,CUST0109,Mouse,1,30,9.59,Delivered,Accessories,3,12,2023,True,31.966666666666665
2023-11-07,CUST0028,Headphones,5,500,16.11,Delivered,Accessories,11,7,2023,False,3.222
2023-09-14,CUST0083,Keyboard,2,100,9.48,Returned,Accessories,9,14,2023,False,9.48
2023-03-19,CUST0027,Monitor,2,600,18.44,Returned,Electronics,3,19,2023,True,3.0733333333333333
2023-10-05,CUST0203,Keyboard,5,250,8.43,Delivered,Accessories,10,5,2023,False,3.372
2023-06-18,CUST0095,Laptop,5,7500,7.38,Returned,Electronics,6,18,2023,True,0.0984
2023-03-16,CUST0204,Smartphone,2,1600,6.45,Delivered,Electronics,3,16,2023,False,0.403125
2023-05-23,CUST0165,Keyboard,1,50,8.97,Returned,Accessories,5,23,2023,False,17.94
2023-11-24,CUST0269,Headphones,3,300,11.64,Returned,Accessories,11,24,2023,False,3.88
2023-08-05,CUST0134,Monitor,5,1500,7.22,Returned,Electronics,8,5,2023,True,0.48133333333333334
2023-01-23,CUST0116,Headphones,2,200,15.13,Delivered,Accessories,1,23,2023,False,7.565000000000001
2023-08-01,CUST0137,Smartphone,3,2400,11.21,Returned,Electronics,8,1,2023,False,0.46708333333333335
2023-04-14,CUST0100,Keyboard,2,100,5.18,Returned,Accessories,4,14,2023,False,5.18
2023-06-22,CUST0282,Smartwatch,3,600,7.93,Delivered,Wearables,6,22,2023,False,1.3216666666666665
2023-04-18,CUST0094,Laptop,1,1500,14.53,Delivered,Electronics,4,18,2023,False,0.9686666666666667
2023-01-28,CUST0194,Mouse,1,30,10.41,Returned,Accessories,1,28,2023,True,34.7
2023-05-08,CUST0174,Smartphone,4,3200,9.45,Returned,Electronics,5,8,2023,False,0.2953125
2023-06-07,CUST0273,Laptop,2,3000,9.01,Delivered,Electronics,6,7,2023,False,0.3003333333333333
2023-02-24,CUST0188,Smartphone,5,4000,6.06,Delivered,Electronics,2,24,2023,False,0.1515
2023-02-16,CUST0109,Keyboard,3,150,11.12,Delivered,Accessories,2,16,2023,False,7.413333333333333
2023-08-07,CUST0081,Smartwatch,3,600,19.89,Returned,Wearables,8,7,2023,False,3.315
2023-04-04,CUST0298,Smartphone,4,3200,18.55,Returned,Electronics,4,4,2023,False,0.5796875
2023-05-01,CUST0189,Monitor,1,300,11.89,Delivered,Electronics,5,1,2023,False,3.9633333333333334
2023-09-28,CUST0092,Smartphone,3,2400,14.12,Delivered,Electronics,9,28,2023,False,0.5883333333333334
2023-12-25,CUST0254,Mouse,2,60,7.56,Delivered,Accessories,12,25,2023,False,12.6
2023-05-06,CUST0150,Headphones,4,400,11.39,Delivered,Accessories,5,6,2023,True,2.8475
2023-08-21,CUST0264,Keyboard,4,200,10.49,Delivered,Accessories,8,21,2023,False,5.245
2023-03-13,CUST0105,Headphones,3,300,17.92,Returned,Accessories,3,13,2023,False,5.973333333333334
2023-02-28,CUST0253,Laptop,1,1500,12.36,Returned,Electronics,2,28,2023,False,0.824
2023-07-26,CUST0188,Monitor,4,1200,8.15,Delivered,Electronics,7,26,2023,False,0.6791666666666667
2023-07-02,CUST0052,Monitor,2,600,19.1,Delivered,Electronics,7,2,2023,True,3.183333333333334
2023-10-17,CUST0204,Smartwatch,5,1000,10.03,Returned,Wearables,10,17,2023,False,1.003
2023-10-18,CUST0180,Monitor,3,900,5.0,Delivered,Electronics,10,18,2023,False,0.5555555555555556
2023-04-06,CUST0189,Laptop,3,4500,9.92,Delivered,Electronics,4,6,2023,False,0.22044444444444447
2023-07-20,CUST0023,Monitor,3,900,18.32,Delivered,Electronics,7,20,2023,False,2.035555555555556
2023-04-08,CUST0263,Smartwatch,1,200,8.82,Returned,Wearables,4,8,2023,True,4.41
2023-01-08,CUST0195,Keyboard,3,150,16.84,Returned,Accessories,1,8,2023,True,11.226666666666667
2023-05-13,CUST0272,Laptop,5,7500,9.45,Returned,Electronics,5,13,2023,True,0.12599999999999997
2023-08-15,CUST0256,Monitor,4,1200,8.25,Returned,Electronics,8,15,2023,False,0.6875
2023-09-18,CUST0131,Smartphone,4,3200,14.61,Delivered,Electronics,9,18,2023,False,0.45656250000000004
2023-02-15,CUST0279,Mouse,1,30,6.08,Returned,Accessories,2,15,2023,False,20.266666666666666
2023-11-28,CUST0250,Smartwatch,2,400,15.94,Delivered,Wearables,11,28,2023,False,3.9849999999999994
2023-07-29,CUST0012,Mouse,3,90,16.49,Delivered,Accessories,7,29,2023,True,18.32222222222222
2023-07-10,CUST0127,Smartphone,4,3200,6.66,Delivered,Electronics,7,10,2023,False,0.20812500000000003
2023-10-25,CUST0128,Monitor,3,900,11.04,Delivered,Electronics,10,25,2023,False,1.2266666666666666
2023-06-12,CUST0155,Headphones,3,300,11.98,Delivered,Accessories,6,12,2023,False,3.9933333333333336
2023-07-22,CUST0115,Headphones,5,500,5.93,Delivered,Accessories,7,22,2023,True,1.186
2023-06-25,CUST0115,Smartwatch,5,1000,19.43,Returned,Wearables,6,25,2023,True,1.9429999999999998
2023-11-29,CUST0282,Smartphone,3,2400,8.23,Returned,Electronics,11,29,2023,False,0.34291666666666665
